movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
让子弹飞,neutral,一般,画面声音,画面一般,1,193,6.2679,5,0.2
让子弹飞,neutral,一般,画面声音,配乐优秀,1,84,5.4427,5,0.2
让子弹飞,neutral,一般,类型题材,爱情题材,2,2026,14.7822,9,0.2222
让子弹飞,neutral,一般,类型题材,战争历史,2,261,11.502,9,0.2222
让子弹飞,neutral,一般,类型题材,喜剧效果,3,68,10.9655,9,0.3333
让子弹飞,neutral,一般,类型题材,原著改编,1,193,6.2679,9,0.1111
让子弹飞,neutral,一般,类型题材,动画题材,1,24,4.2189,9,0.1111
让子弹飞,neutral,一般,节奏体验,节奏平淡,4,1103,22.7498,5,0.8
让子弹飞,neutral,一般,节奏体验,节奏拖沓,1,158,6.0689,5,0.2
让子弹飞,neutral,一般,观看体验,重复观看,1,767,7.6438,1,1.0
让子弹飞,positive,好评,主题价值,现实社会,2,2465,14.8419,6,0.3333
让子弹飞,positive,好评,主题价值,时代命运,2,1136,13.9813,6,0.3333
让子弹飞,positive,好评,主题价值,价值观争议,1,2302,8.742,6,0.1667
让子弹飞,positive,好评,主题价值,人性思考,1,440,7.089,6,0.1667
让子弹飞,positive,好评,争议感受,过誉,2,1172,14.0176,2,1.0
让子弹飞,positive,好评,人物关系,性别表达,2,3407,15.131,6,0.3333
让子弹飞,positive,好评,人物关系,爱情关系,2,3407,15.131,6,0.3333
让子弹飞,positive,好评,人物关系,人物命运,1,440,7.089,6,0.1667
让子弹飞,positive,好评,人物关系,友情关系,1,440,7.089,6,0.1667
让子弹飞,positive,好评,人物表演,演员加分,2,4116,16.3602,6,0.3333
让子弹飞,positive,好评,人物表演,台词经典,2,2774,15.9011,6,0.3333
让子弹飞,positive,好评,人物表演,表演尴尬,1,8729,10.0745,6,0.1667
让子弹飞,positive,好评,人物表演,角色鲜明,1,154,6.0434,6,0.1667
让子弹飞,positive,好评,剧情内容,结尾震撼,6,16846,48.5833,12,0.5
让子弹飞,positive,好评,剧情内容,剧情精彩,3,1021,20.1242,12,0.25
让子弹飞,positive,好评,剧情内容,剧情反转,2,1150,13.9956,12,0.1667
让子弹飞,positive,好评,剧情内容,剧情完整,1,154,6.0434,12,0.0833
让子弹飞,positive,好评,导演叙事,表达说教,1,8729,10.0745,4,0.25
让子弹飞,positive,好评,导演叙事,表达晦涩,1,3253,9.0876,4,0.25
让子弹飞,positive,好评,导演叙事,叙事优秀,1,472,7.1591,4,0.25
让子弹飞,positive,好评,导演叙事,剪辑出色,1,154,6.0434,4,0.25
